Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.45527050725421,-5.959310674043571,-0.25220504139974767,-4.226478349968033,2.813335826208846 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.2728238660996715,-8.42722594294423,-1.1177260572695787,-6.125040520026005,2.715724078034231 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,2.0656118410186155,-10.903662572691653,-1.9863614993657848,-8.029632145477024,2.5813660774736184 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8419295706579813,-13.386583982225476,-2.869178517193916,-9.943383079099874,2.421117186814866 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.7765683064440719,-13.188281242489003,-2.8942295450689246,-9.815238572575936,2.2778990056956838 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.6962794658559295,-13.011171463300139,-2.8944851874780399,-9.703301151706,2.1709965432491997 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.635298391230725,-12.832743518350199,-2.8921480986736016,-9.581744219322673,2.094482640353064 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.586943118806943,-12.654388725344278,-2.877823714774536,-9.454453882926658,2.035974111847483 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.5408963902169386,-12.52973481250387,-2.852542193629972,-9.31808870255361,1.9854835564859228 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4985598186913974,-12.40651327865524,-2.8252779536340428,-9.181190984454475,1.937988633237493 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.4573892954342729,-12.284892103300792,-2.796284360794516,-9.044060499882562,1.8918938993214068 
